"Subject Catalog Nbr
",Title,"Instructors

","Term
","Term Code
",Cross- listed,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP,S,U,I,W,IP,-,Total
BIOE 193F,Indep Research/EEB,Mark Carr,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BIOE 195,Senior Thesis,Giacomo Bernardi,2022 Spr,2222,N,1,,,,,,,,,,,,,,,,,,,,,1
BIOE 195,Senior Thesis,Donald Croll,2022 Spr,2222,N,1,,,,,,,,,,,,,,,,,,,,,1
BIOE 195,Senior Thesis,Peter Raimondi,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BIOE 195,Senior Thesis,Gregory Gilbert,2022 Spr,2222,N,,2,,,,,,,,,,,,,,,,,,,,2
BIOE 195,Senior Thesis,Roxanne Beltran,2022 Spr,2222,N,2,,,,,,,,,,,,,,,,,,,,,2
BIOE 199F,Tutorial,Erika Zavaleta,2022 Spr,2222,N,,7,,,,,,,,,,,,4,,,,,1,,,12
BIOE 199F,Tutorial,Erika Zavaleta,2022 Spr,2222,N,,2,,,,,,,,,,,,11,,,,,,,,13
BIOE 215,Adv Seminar EEB,Lauren Bell; Robin Dunkin,2022 Spr,2222,N,,,,,,,,,,,,,,,,8,,,,,,8
BIOE 215,Adv Seminar EEB,Stephan Munch,2022 Spr,2222,N,,1,,,,,,,,,,,,,,10,,,,,,11
BIOE 281A,Appld Marine Ecolog,Mark Carr,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
BIOE 281B,Molecular Evolution,Giacomo Bernardi,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
BIOE 281C,Physiological Ecol,Dan Costa,2022 Spr,2222,N,,,,,,,,,,,,,,,,8,,,,,,8
BIOE 281D,Global Chng Ecology,Kristy Kroeker,2022 Spr,2222,N,,,,,,,,,,,,,,,,6,,,,,,6
BIOE 281E,Freshwater Ecology,Eric Palkovacs,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 281G,SexualSel/Soci Behav,Suzanne Alonzo,2022 Spr,2222,N,,,,,,,,,,,,,,,,6,,,,,,6
BIOE 281H,Comp Marine Phys,Rita Mehta,2022 Spr,2222,N,,,,,,,,,,,,,,,,5,,,,,,5
BIOE 281I,DiseaseEco/Population,Auston Kilpatrick,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
BIOE 281K,Plant Evolution,Kathleen Kay,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOE 281N,Marine Vert Ecology,Donald Croll,2022 Spr,2222,N,,,,,,,,,,,,,,,,5,,,,,,5
BIOE 281P,Plant Population,Ingrid Parker,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 281Q,Molec Evolution Gen,Grant Pogson,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 281R,Mari Eco&Evol Biol,Peter Raimondi,2022 Spr,2222,N,,,,,,,,,,,,,,,,6,,,,,,6
BIOE 281S,Ancient DNA,Beth Shapiro,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
BIOE 281W,Exercise/Env Phys,Terrie Williams,2022 Spr,2222,N,,,,,,,,,,,,,,,,,,,,,4,4
BIOE 281X,Topics in Marine Verts,Roxanne Beltran,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOE 281Z,Cons Sci Changng World,Erika Zavaleta,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
BIOE 294,"Ecol, Evol Bio Sem",Beth Shapiro,2022 Spr,2222,N,,,,,,,,,,,,,,,,70,,,,,,70
BIOE 297A,Independent Study,Mark Carr,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 297B,Independent Study,Giacomo Bernardi,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 297B,Independent Study,Dan Costa,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 297B,Independent Study,Donald Croll,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOE 297B,Independent Study,Rita Mehta,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 297B,Independent Study,Auston Kilpatrick,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 297B,Independent Study,Terrie Williams,2022 Spr,2222,N,,,,,,,,,,,,,,,,,,,,,1,1
BIOE 297B,Independent Study,Beth Shapiro,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 297B,Independent Study,Kristy Kroeker,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 297B,Independent Study,Roxanne Beltran,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 297B,Independent Study,Erika Zavaleta,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 297C,Independent Study,Giacomo Bernardi,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 297C,Independent Study,Dan Costa,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOE 297C,Independent Study,Donald Croll,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOE 297C,Independent Study,Rita Mehta,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 297C,Independent Study,Kathleen Kay,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 297C,Independent Study,Auston Kilpatrick,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOE 297C,Independent Study,Jarmila Pittermann,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOE 297C,Independent Study,Grant Pogson,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 297C,Independent Study,Peter Raimondi,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 297C,Independent Study,Beth Shapiro,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 297C,Independent Study,Eric Palkovacs,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 297C,Independent Study,Suzanne Alonzo,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 297C,Independent Study,Roxanne Beltran,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 297C,Independent Study,Erika Zavaleta,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 299B,Thesis Research,Peter Raimondi,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 299C,Thesis Research,Giacomo Bernardi,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 299C,Thesis Research,Mark Carr,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOE 299C,Thesis Research,Dan Costa,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOE 299C,Thesis Research,Rita Mehta,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 299C,Thesis Research,Kathleen Kay,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 299C,Thesis Research,Auston Kilpatrick,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 299C,Thesis Research,Ingrid Parker,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 299C,Thesis Research,Grant Pogson,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 299C,Thesis Research,Peter Raimondi,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOE 299C,Thesis Research,Terrie Williams,2022 Spr,2222,N,,,,,,,,,,,,,,,,,,,,,1,1
BIOE 299C,Thesis Research,Beth Shapiro,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOE 299C,Thesis Research,Eric Palkovacs,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOE 299C,Thesis Research,Suzanne Alonzo,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
BIOE 299C,Thesis Research,Kristy Kroeker,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOE 299C,Thesis Research,Erika Zavaleta,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 15,Research Reports,Melissa Jurica,2022 Spr,2222,N,,8,1,,,,,,,,,,,3,,,,1,,,,13
BIOL 20A,Cell & Molecular Bi,Guido Bordignon,2022 Spr,2222,N,15,76,,25,101,,29,60,,14,19,,9,9,5,,,1,3,,,366
BIOL 20L,Experimental Lab,James Shanks,2022 Spr,2222,N,2,17,26,19,21,11,6,8,,,3,,3,,,,,,,,,116
BIOL 86,Research Deconstruct,Guido Bordignon,2022 Spr,2222,N,,11,,,,,,,,,,,,,,,,,,,,11
BIOL 88,Studies in Medicine,Grant Hartzog,2022 Spr,2222,N,8,28,6,3,,,,,,,,,1,5,2,,,,1,,,54
BIOL 100,Biochemistry,Jeremy Lee,2022 Spr,2222,N,4,14,9,9,21,13,10,46,10,14,7,,34,1,6,,,,7,,,205
BIOL 101,Molecular Biology,Grant Hartzog,2022 Spr,2222,N,1,26,40,8,28,16,27,28,,,13,,5,,1,,,4,3,,,200
BIOL 101L,Molecular Bio Lab,Jeremy Kreher,2022 Spr,2222,N,5,13,17,10,13,5,1,7,,,4,,1,,,,,1,1,,,78
BIOL 103L,Toxic RNA Lab III,Jeremy Sanford,2022 Spr,2222,N,3,11,3,3,,,,,,,,,,,,,,1,,,,21
BIOL 105,Genetics,Michael Doody,2022 Spr,2222,N,7,25,27,24,42,26,17,33,,21,2,1,2,1,1,,,,,,,229
BIOL 105,Genetics,Rohinton Kamakaka,2022 Spr,2222,N,,,,,,,1,,,,,,,,,,,,,,,1
BIOL 105L,Eukaryotc Genet Lab,Jeremy Lee,2022 Spr,2222,N,6,8,4,4,,,,,,,,,,,,,,,,,,22
BIOL 108L,Syn Gene Reg Lab III,Rohinton Kamakaka,2022 Spr,2222,N,6,4,8,2,,,,,,,,,,,,,,,,,,20
BIOL 109L,Yeast Molecular Gen,Giulia Gurun,2022 Spr,2222,N,,3,3,3,2,2,3,2,,,,,1,,,,,,1,,,20
BIOL 110,Cell Biology,Hannah Vicars,2022 Spr,2222,N,1,4,5,5,6,4,3,11,,,1,,2,,,,,,1,,,43
BIOL 111B,Immunology II,Martha Zuniga,2022 Spr,2222,N,1,3,1,,,,,,,,,,,,,,,1,,,,6
BIOL 114,Cancer Cell Biology,Alan Zahler; Shaheen Sikandar,2022 Spr,2222,N,4,16,14,5,18,6,,10,,,,,,11,1,,,,3,,,88
BIOL 115L,Eukaryotc Molec Lab,Jeremy Kreher,2022 Spr,2222,N,,8,6,3,,1,,,,,,,,,,,,,,,,18
BIOL 120,DevelopmentalBiology,James Shanks,2022 Spr,2222,N,,3,4,3,6,4,3,11,,,2,,4,,2,,,,1,,,43
BIOL 124,Bioimaging,Yi Zuo,2022 Spr,2222,N,,,2,,1,,,,,,,,,1,,,,,,,,4
BIOL 126,Neural Plasticity,Yi Zuo,2022 Spr,2222,Y,,3,5,8,7,14,10,10,,,1,,,,,,,,1,,,59
BIOL 128,Dev Neuro,Bin Chen,2022 Spr,2222,Y,,2,3,,2,1,,3,,,,,,2,,,,,1,,,14
BIOL 129C,Adv Nerv Sys Disorders,David Feldheim,2022 Spr,2222,N,,13,,,,,,,,,,,,,,,,,,,,13
BIOL 130,Human Physiology,Giulia Gurun,2022 Spr,2222,N,7,5,3,4,6,7,5,19,,,4,2,2,3,3,,,,1,,,71
BIOL 130L,Human Physiology Lab,Giulia Gurun,2022 Spr,2222,N,,1,7,4,13,10,5,7,,,1,2,4,1,3,,,,1,,,59
BIOL 186F,Undergrad Rsrch:MCDB,Martha Zuniga,2022 Spr,2222,Y,,3,,,,,,,,,,,,,,,,,,,,3
BIOL 186L,Undergrad Rsrch MCD,Martha Zuniga,2022 Spr,2222,Y,,10,2,2,3,2,,,,,,,,,,,,1,,,,20
BIOL 186R,UG Research: MCD Bio,Martha Zuniga,2022 Spr,2222,Y,,2,,,,,,,,,,,,,,,,,,,,2
BIOL 188,A Life in Medicine,Scott Vahradian,2022 Spr,2222,N,,43,,,,,,,,,,,,,,,,,1,,,44
BIOL 189,Health Sci Intrnshp,David Feldheim,2022 Spr,2222,N,,23,,4,3,,,,,,,,,,,,,,,,,30
BIOL 189W,Human Biology DC,David Feldheim,2022 Spr,2222,N,,23,5,1,,,,,,,,,,,,,,,,,,29
BIOL 195,Sr Thesis Research,Manuel Ares,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BIOL 199,Tutorial,Douglas Kellogg,2022 Spr,2222,N,1,,,,,,,,,,,,,,,,,,,,,1
BIOL 205,Epigenetics,Susan Strome,2022 Spr,2222,N,,,,,,,,,,,,,,,,6,,,,,,6
BIOL 215,MCD Biostatistics,Joshua Arribere,2022 Spr,2222,N,,14,,,2,,,,,,,,,,,2,,,,,,18
BIOL 280A,Molec Gene Yeasts,Manuel Ares,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 280C,Mammalian Brain Dev,Bin Chen,2022 Spr,2222,N,,1,,,,,,,,,,,,,,1,,,,,,2
BIOL 280D,RNA Processing,Alan Zahler,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 280E,Meiotic Chrom Dynms,Needhi Bhalla,2022 Spr,2222,N,,3,,,,,,,,,,,,,,1,,,,,,4
BIOL 280F,Vert Neural Connect,David Feldheim,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 280H,Chromatn/Transcript,Grant Hartzog,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 280I,EpigeneticGeneSilenc,Rohinton Kamakaka,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 280J,Macromoleculr Cmplx,Melissa Jurica,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOL 280K,Cell Cycle Research,Douglas Kellogg,2022 Spr,2222,N,2,,,,,,,,,,,,,,,2,,,,,,4
BIOL 280L,Development,Lindsay Hinck,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 280M,Post-Trans Control,Jeremy Sanford,2022 Spr,2222,N,1,1,,,,,,,,,,,,,,4,,,,,,6
BIOL 280N,Noncoding RNA Immune,Susan Carpenter,2022 Spr,2222,N,,,,,,,,,,,,,,,,5,,,,,,5
BIOL 280N,Noncoding RNA Immune,Susan Carpenter,2022 Spr,2222,N,,,,,,,,,,,,,,1,,,,,,,,1
BIOL 280N,Noncoding RNA Immune,Susan Carpenter,2022 Spr,2222,N,,,,,,,,,,,,,,1,,,,,,,,1
BIOL 280P,QualityCtrl Gene Exp,Joshua Arribere,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
BIOL 280Q,Oocyte/Embry/Neuron,Carol Greider,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 280R,Gene reg C. elegans,Jordan Ward,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 280S,Chrom/RNA reg,Susan Strome,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 280T,Drosophila Develpmt,Shaheen Sikandar,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 280U,Drosophila Embryo,William Sullivan,2022 Spr,2222,N,,1,,,,,,,,,,,,,,3,,,,,,4
BIOL 280V,Translational pediatri,Olena Morozova,2022 Spr,2222,N,,1,,,,,,,,,,,,,,1,,,,,,2
BIOL 280W,Gen ID of Neural Circ,Euiseok Kim,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 280X,RNA-mediated epigeneti,Upasna Sharma,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 280Y,Synaptic Plasticity,Yi Zuo,2022 Spr,2222,N,,,,,,,,,,,,,,,,3,,,,,,3
BIOL 280Z,ProstaDev&CancerBio,Zhu Wang,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 290,Career Planning,Lindsay Hinck,2022 Spr,2222,N,,4,,,,,,,,,,,,,,27,,,,,,31
BIOL 291,Mol Cell Devel Bio,Dan Turner-Evans; Susan Carpenter,2022 Spr,2222,N,,,,,,,,,,,,,,,,88,,,,,,88
BIOL 292,MCD Seminar,Dan Turner-Evans; Susan Carpenter,2022 Spr,2222,N,,,,,,,,,,,,,,,,86,,,,,,86
BIOL 297A,Independent Study,Manuel Ares,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297A,Independent Study,Yi Zuo,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 297A,Independent Study,Susan Carpenter,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 297A,Independent Study,Jordan Ward,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297A,Independent Study,Joshua Arribere,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 297A,Independent Study,Olena Morozova,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297A,Independent Study,Carol Greider,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297A,Independent Study,Dan Turner-Evans,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297A,Independent Study,Shaheen Sikandar,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297B,Independent Study,Melissa Jurica,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297B,Independent Study,Rohinton Kamakaka,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297B,Independent Study,Douglas Kellogg,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297B,Independent Study,David Boyd,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 297B,Independent Study,Valerie Cortez,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297B,Independent Study,Jeremy Sanford,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,1,,,,,2
BIOL 297B,Independent Study,William Sullivan,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297B,Independent Study,Susan Carpenter,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,1,,,,,2
BIOL 297B,Independent Study,Olena Morozova,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BIOL 297B,Independent Study,Carol Greider,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 297B,Independent Study,Rebecca Dubois,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 297C,Independent Study,Hanns Boeger,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297C,Independent Study,Harry Noller,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297C,Independent Study,Jeremy Sanford,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,1,,,,,3
BIOL 297C,Independent Study,William Sullivan,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297C,Independent Study,Yi Zuo,2022 Spr,2222,N,,,,,,,,,,,,,,,,2,,,,,,2
BIOL 297C,Independent Study,Susan Carpenter,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297C,Independent Study,Zhu Wang,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297C,Independent Study,Euiseok Kim,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297C,Independent Study,Upasna Sharma,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297C,Independent Study,Camilla Forsberg,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297C,Independent Study,David Haussler,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 297C,Independent Study,Shaheen Sikandar,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299A,Thesis Research,William Sullivan,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299B,Thesis Research,Bin Chen,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BIOL 299B,Thesis Research,David Feldheim,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299B,Thesis Research,Lindsay Hinck,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299B,Thesis Research,Melissa Jurica,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299B,Thesis Research,Zhu Wang,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299B,Thesis Research,Joshua Arribere,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299B,Thesis Research,Olena Morozova,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BIOL 299C,Thesis Research,Manuel Ares,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,Needhi Bhalla,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,Bin Chen,2022 Spr,2222,N,1,,,,,,,,,,,,,,,1,,,,,,2
BIOL 299C,Thesis Research,David Feldheim,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,Grant Hartzog,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,Lindsay Hinck,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,Melissa Jurica,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,Rohinton Kamakaka,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,Douglas Kellogg,2022 Spr,2222,N,1,,,,,,,,,,,,,,,2,,,,,,3
BIOL 299C,Thesis Research,Susan Strome,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,William Sullivan,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BIOL 299C,Thesis Research,Alan Zahler,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,Susan Carpenter,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,Jordan Ward,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,Joshua Arribere,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,Upasna Sharma,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BIOL 299C,Thesis Research,Camilla Forsberg,2022 Spr,2222,N,,,,,,,,,,,,,,,,4,,,,,,4
BIOL 299C,Thesis Research,David Haussler,2022 Spr,2222,N,,1,,,,,,,,,,,,,,1,,,,,,2
BIOL 299C,Thesis Research,Michael Stone,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BIOL 299C,Thesis Research,Victoria Stone,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 22L,BME Molecular Biology1,Dianne Hendricks,2022 Spr,2222,N,,6,,,,,,,,,,,,,,,,1,,,,7
BME 23L,BME Molecular Biology2,Dianne Hendricks,2022 Spr,2222,N,,25,,,,,,,,,,,,,,,,1,,,,26
BME 55,Intro to Lab Groups,Kevin Karplus,2022 Spr,2222,N,,,,,,,,,,,,,,8,3,,,,1,,,12
BME 80H,The Human Genome,Wendy Rothwell,2022 Spr,2222,N,1,16,1,2,17,1,6,10,,,,,4,10,3,,,,2,,,73
BME 105,Genetics/Genomics,Angela Brooks,2022 Spr,2222,N,1,12,2,6,18,1,,8,,2,5,,6,,,,,,,,,61
BME 110,Comp Bio Tools,Joshua Stuart,2022 Spr,2222,N,7,11,10,2,7,1,4,,,,1,,3,,1,3,,1,1,,,52
BME 129C,Design/Implement BME,David Bernick,2022 Spr,2222,N,,7,8,,,,,,,,,,,,,,,,,,,15
BME 160,ResBioProgramming,David Bernick,2022 Spr,2222,N,4,16,4,7,6,,1,7,,1,1,,5,1,1,5,,,,,,59
BME 163,Data Visualization,Christopher Vollmers,2022 Spr,2222,Y,25,19,6,,13,3,1,3,,,,,,2,3,,,2,,,,77
BME 177,Engr Stem Cells,Ali Shariati,2022 Spr,2222,N,4,31,8,,2,,,,,,,,,,,1,,,,,,46
BME 188A,SynBio Research:A,David Bernick,2022 Spr,2222,N,,14,,,,,,,,,,,,,,,,,,,,14
BME 195,Sr Thesis Research,Nader Pourmand,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BME 195,Sr Thesis Research,Marco Rolandi,2022 Spr,2222,N,1,,,,,,,,,,,,,,,,,,,,,1
BME 195,Sr Thesis Research,Sarah Loerch,2022 Spr,2222,N,1,,,,,,,,,,,,,,,,,,,,,1
BME 198,Indiv Study/Resrch,Benedict Paten,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BME 198,Indiv Study/Resrch,David Bernick,2022 Spr,2222,N,,2,,,,,,,,,,,,,,,,,,,,2
BME 198,Indiv Study/Resrch,Sofie Salama,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BME 198,Indiv Study/Resrch,Beth Shapiro,2022 Spr,2222,N,1,,,,,,,,,,,,,,,,,,,,,1
BME 198F,Indiv Study/Resrch,Ali Shariati,2022 Spr,2222,N,1,,,,,,,,,,,,,,,,,,,,,1
BME 198F,Indiv Study/Resrch,Dianne Hendricks,2022 Spr,2222,N,,1,,,,,,,,,,,,,,,,,,,,1
BME 230B,Adv Comp Genomics,Benedict Paten; Joshua Stuart,2022 Spr,2222,N,4,,,,,,,,,,,,,,,2,,,,,,6
BME 237,RNA Bioinformatics,Angela Brooks,2022 Spr,2222,N,,4,,,1,,,,,,,,,,,7,1,,,,,13
BME 263,Data Visualization,Christopher Vollmers,2022 Spr,2222,Y,3,,1,,,,,,,,,,,,,9,,,,,,13
BME 280B,Bioinform/Bioeng Sem,Christopher Vollmers,2022 Spr,2222,N,,,,,,,,,,,,,,3,,21,1,,,,,25
BME 281D,Protein Engineering,Rebecca Dubois,2022 Spr,2222,N,,,,,,,,,,,,,,,,5,,,,,,5
BME 281E,Seminar in Genomics,Richard Edward Green,2022 Spr,2222,N,,,,,,,,,,,,,,,,1,,,,,,1
BME 281F,Blood Cell Dev,Camilla Forsberg,2022 Spr,2222,N,,1,,,,,,,,,,,,,,6,,,,,,7
BME 281H,Sem Compar Genomics,David Haussler,2022 Spr,2222,N,,1,,,,,,,,,,,,,,3,,,,,,4
BME 281J,Seminar in Genomics,Benedict Paten,2022 Spr,2222,N,,1,,,,,,,,,,,,,,6,,,,,,7
BME 281L,Sem Comput Genetics,Todd Lowe,2022 Spr,2222,N,,1,,,,,,,,,,,,,,1,,,,,,2
BME 281N,Transcriptomics,Angela Brooks,2022 Spr,2222,N,,,1,,,,,,,,,,,,,6,,,,,,7
